Team,Year,Salary_Cap,Active_Cap_Spend,Dead_Cap,Dead_Cap_%,QB_Cap_Hit,QB_Cap_%,Offensive_Spend,Defensive_Spend,Avg_Roster_Age,Wins,Playoff_Appearance
chicago-bears,2023,224800000.0,171087200.0,36737468.0,0.1634229003558719,6584119.0,0.0292887855871886,84940009.0,64526396.0,26.115384615384617,7.0,0
chicago-bears,2024,255400000.0,204948258.0,30383725.0,0.118965250587314,8102616.0,0.0317251996867658,89843085.0,71111869.0,26.471698113207548,5.0,0
chicago-bears,2025,279200000.0,243155118.0,10029653.0,0.035922825931232,12782920.0,0.0457840974212034,128531932.0,79434340.0,26.942307692307693,11.0,1
cincinnati-bengals,2018,177200000.0,172901204.0,23490696.0,0.1325660045146726,2512059.0,0.0141764051918735,69027382.0,68053722.0,25.261904761904763,6.0,0
cincinnati-bengals,2019,188200000.0,132358691.0,13714635.0,0.0728726620616365,17389080.0,0.0923968119022316,77629158.0,36377756.0,25.942307692307693,2.0,0
cincinnati-bengals,2020,198200000.0,134781827.0,30688415.0,0.154835595358224,2763937.0,0.0139451917255297,73016798.0,43240862.0,25.910112359550563,4.5,0
cincinnati-bengals,2021,182500000.0,204770496.0,37859930.0,0.2074516712328767,11298363.0,0.0619088383561643,83900925.0,91093362.0,26.10576923076923,10.0,1
cincinnati-bengals,2022,208200000.0,219930652.0,30521657.0,0.1465977761767531,12270037.0,0.0589338952929875,103131784.0,88745765.0,25.322916666666668,12.0,1
cincinnati-bengals,2023,224800000.0,170878346.0,4451550.0,0.019802268683274,1063332.0,0.0047301245551601,86937426.0,52722328.0,25.92452830188679,9.0,0
cincinnati-bengals,2024,255400000.0,185741962.0,13021226.0,0.0509836570086139,30629000.0,0.1199256068911511,100982600.0,47083755.0,25.634615384615383,9.0,0
cincinnati-bengals,2025,279200000.0,215473231.0,20747982.0,0.0743122564469914,48904019.0,0.1751576611747851,152268680.0,41382102.0,26.60377358490566,6.0,0
cleveland-browns,2018,177200000.0,142452164.0,25921273.0,0.146282579006772,24207985.0,0.1366139108352144,88670828.0,37186166.0,25.37735849056604,7.5,0
cleveland-browns,2019,188200000.0,160691307.0,40502545.0,0.2152101222104144,8060450.0,0.0428291710945802,88627583.0,52332342.0,24.869565217391305,6.0,0
cleveland-browns,2020,198200000.0,175113928.0,33449184.0,0.1687648032290615,14670206.0,0.0740171846619576,89851930.0,63464686.0,25.73809523809524,11.0,1
cleveland-browns,2021,182500000.0,193418141.0,47967115.0,0.262833506849315,14717777.0,0.0806453534246575,119075205.0,53563686.0,25.570247933884296,8.0,0
cleveland-browns,2022,208200000.0,132206297.0,35989120.0,0.1728584053794428,14949713.0,0.0718045773294908,73906576.0,34206240.0,25.471698113207548,7.0,0
cleveland-browns,2023,224800000.0,136190604.0,23468987.0,0.1043994083629893,2732222.0,0.012154012455516,62639494.0,45666130.0,26.849056603773583,11.0,1
cleveland-browns,2024,255400000.0,130535406.0,42497245.0,0.1663948512137823,3042178.0,0.0119114252153484,57633678.0,42479791.0,26.79245283018868,3.0,0
cleveland-browns,2025,279200000.0,132190554.0,85067504.0,0.3046830372492837,2091309.0,0.007490361747851,52722730.0,45979775.0,25.90566037735849,5.0,0
dallas-cowboys,2018,177200000.0,128476812.0,40867334.0,0.2306282957110609,2351290.0,0.0132691309255079,56125658.0,36326328.0,25.414285714285715,10.0,1
dallas-cowboys,2019,188200000.0,189944032.0,20523241.0,0.1090501647183847,2767517.0,0.0147051912858661,102795990.0,46906706.0,26.788235294117648,8.0,0
dallas-cowboys,2020,198200000.0,174068547.0,63003474.0,0.3178782744702321,6489594.0,0.0327426538849646,76545261.0,58899767.0,26.03418803418804,6.0,0
dallas-cowboys,2021,182500000.0,172246910.0,40878709.0,0.2239929260273972,18120000.0,0.0992876712328767,99160325.0,35151240.0,26.0,12.0,1
dallas-cowboys,2022,208200000.0,189690593.0,44395306.0,0.2132339385206532,21004166.0,0.1008845629202689,108086382.0,64888068.0,26.55128205128205,12.0,1
dallas-cowboys,2023,224800000.0,185500694.0,20451431.0,0.0909761165480427,29897647.0,0.1329966503558718,95480590.0,77122641.0,26.07547169811321,12.0,1
dallas-cowboys,2024,255400000.0,97500830.0,29661014.0,0.1161355285826155,8248214.0,0.0322952779953014,48174196.0,34280418.0,26.433962264150946,7.0,0
dallas-cowboys,2025,279200000.0,201412306.0,54447235.0,0.1950115866762177,51497330.0,0.1844460243553008,122311806.0,63427042.0,26.46153846153846,7.5,0
denver-broncos,2018,177200000.0,215405520.0,58837523.0,0.33204019751693,16890000.0,0.0953160270880361,59814315.0,113129055.0,25.568345323741006,6.0,0
denver-broncos,2019,188200000.0,105297174.0,31913480.0,0.1695721572794899,1919694.0,0.0102002869287991,39698650.0,32269401.0,25.28846153846154,7.0,0
denver-broncos,2020,198200000.0,119657209.0,38656676.0,0.1950387285570131,5130138.0,0.0258836427850655,54836293.0,44451002.0,25.376344086021504,5.0,0
denver-broncos,2021,182500000.0,113890694.0,45744002.0,0.2506520657534246,3328701.0,0.0182394575342465,47316647.0,49197083.0,25.44155844155844,7.0,0
denver-broncos,2022,208200000.0,147776744.0,56701271.0,0.2723403986551393,20247503.0,0.0972502545629202,65582197.0,68031570.0,25.96330275229358,5.0,0
denver-broncos,2023,224800000.0,173358141.0,33296145.0,0.1481145240213523,25000000.0,0.1112099644128113,92114592.0,70494771.0,26.30188679245283,8.0,0
denver-broncos,2024,255400000.0,150535729.0,89083362.0,0.3487993813625685,13110849.0,0.051334569303054,77094698.0,60998695.0,26.07692307692308,10.0,1
denver-broncos,2025,279200000.0,210082064.0,45514189.0,0.1630164362464183,8247275.0,0.0295389505730659,105831032.0,79414827.0,26.9622641509434,14.0,1
detroit-lions,2018,177200000.0,114899245.0,32396258.0,0.1828231264108352,27220000.0,0.1536117381489842,59866369.0,46317289.0,26.049382716049383,6.0,0
detroit-lions,2019,188200000.0,178324022.0,30219566.0,0.1605715515409139,1293528.0,0.0068731562167906,62483902.0,81727472.0,26.07,3.5,0
detroit-lions,2020,198200000.0,136316057.0,29102142.0,0.1468321997981836,23776472.0,0.1199620181634712,77662911.0,44147618.0,26.78846153846154,5.0,0
detroit-lions,2021,182500000.0,103540150.0,85596777.0,0.4690234356164383,14726471.0,0.0806929917808219,59092552.0,37132551.0,24.87272727272727,3.5,0
detroit-lions,2022,208200000.0,160651049.0,41300759.0,0.1983706003842459,32185000.0,0.1545869356388088,90348548.0,48594326.0,25.58333333333333,9.0,0
detroit-lions,2023,224800000.0,173331167.0,32092641.0,0.1427608585409252,34141293.0,0.1518740791814946,106932804.0,44981842.0,26.0,12.0,1
detroit-lions,2024,255400000.0,151659745.0,39256611.0,0.1537063860610806,28620222.0,0.1120603837118245,104856482.0,36719874.0,26.942307692307693,15.0,1
detroit-lions,2025,279200000.0,216842653.0,37517155.0,0.1343737643266475,33747640.0,0.1208726361031518,126163433.0,64122226.0,27.07692307692308,9.0,0
green-bay-packers,2018,177200000.0,124176442.0,14982444.0,0.0845510383747178,22071928.0,0.1245594130925508,89040711.0,15007161.0,25.54716981132076,6.5,0
green-bay-packers,2019,188200000.0,204790742.0,27017233.0,0.143555967056323,31388000.0,0.1667800212539851,119269443.0,55020701.0,25.672897196261683,13.0,1
green-bay-packers,2020,198200000.0,173346306.0,13816256.0,0.0697086579212916,24645537.0,0.1243468062563067,84195571.0,46727712.0,25.676470588235293,13.0,1
green-bay-packers,2021,182500000.0,194218086.0,23919517.0,0.1310658465753424,29887989.0,0.163769802739726,102384933.0,52309503.0,25.425925925925927,13.0,1
green-bay-packers,2022,208200000.0,175282931.0,40103094.0,0.1926181268011527,31910874.0,0.153270288184438,88397606.0,55560823.0,25.527027027027028,8.0,0
green-bay-packers,2023,224800000.0,120689913.0,67234462.0,0.2990856850533808,5240316.0,0.0233110142348754,40704353.0,61141454.0,25.0188679245283,9.0,1
green-bay-packers,2024,255400000.0,154542400.0,64574213.0,0.2528356029757243,21931831.0,0.0858724784651527,66952389.0,68749729.0,25.23076923076923,11.0,1
green-bay-packers,2025,279200000.0,179161394.0,60096060.0,0.2152437679083094,31676835.0,0.1134557127507163,89316317.0,45983169.0,25.39622641509434,9.5,1
houston-texans,2018,177200000.0,173377673.0,36610458.0,0.2066052934537246,6478700.0,0.0365615124153498,67133199.0,81640037.0,25.26851851851852,11.0,1
houston-texans,2019,188200000.0,145821737.0,27378439.0,0.1454752337938363,6778440.0,0.0360172157279489,65993230.0,55777943.0,26.54716981132076,10.0,1
houston-texans,2020,198200000.0,141313765.0,23481796.0,0.1184752573158425,14334678.0,0.0723243087790111,79738576.0,37542487.0,26.25454545454545,4.0,0
houston-texans,2021,182500000.0,117656283.0,43381422.0,0.2377064219178082,22213002.0,0.1217150794520548,57480661.0,46551701.0,26.865384615384617,4.0,0
houston-texans,2022,208200000.0,187015626.0,127981039.0,0.6147023967339097,6724473.0,0.0322981412103746,91199258.0,68081334.0,26.43243243243243,3.5,0
houston-texans,2023,224800000.0,142196787.0,47419666.0,0.210941574733096,10770020.0,0.0479093416370106,78627318.0,48360456.0,27.20754716981132,10.0,1
houston-texans,2024,255400000.0,180926822.0,41631992.0,0.1630070164447924,11676576.0,0.0457187783868441,100145109.0,45619353.0,26.75471698113208,10.0,1
houston-texans,2025,279200000.0,170929628.0,66476453.0,0.2380961783667621,14870642.0,0.053261611747851,75158116.0,45555851.0,26.67924528301887,12.0,1
indianapolis-colts,2018,177200000.0,119266254.0,20943164.0,0.1181894130925508,25160076.0,0.1419868848758465,79859256.0,32268057.0,25.40909090909091,10.0,1
indianapolis-colts,2019,188200000.0,142403804.0,24497343.0,0.1301665409139213,12675735.0,0.0673524707757704,67418520.0,46662745.0,25.67924528301887,7.0,0
indianapolis-colts,2020,198200000.0,193570457.0,23653810.0,0.1193431382441977,47168066.0,0.2379821695257316,114087535.0,61432366.0,25.41538461538461,11.0,1
indianapolis-colts,2021,182500000.0,261285239.0,20182340.0,0.1105881643835616,23445563.0,0.1284688383561643,136277272.0,87218142.0,26.15748031496063,9.0,0
indianapolis-colts,2022,208200000.0,167845479.0,29680285.0,0.1425566042267051,23021236.0,0.1105726993275696,88777967.0,65088298.0,25.566666666666663,4.5,0
indianapolis-colts,2023,224800000.0,150648067.0,51418290.0,0.2287290480427046,4472677.0,0.01989625,73427514.0,55094468.0,25.71153846153846,9.0,0
indianapolis-colts,2024,255400000.0,199356329.0,15608803.0,0.061115125293657,13813593.0,0.0540861119812059,111177335.0,63193870.0,26.33962264150944,8.0,0
indianapolis-colts,2025,279200000.0,187793760.0,17419477.0,0.0623906769340974,1130919.0,0.0040505694842406,92987676.0,53831428.0,27.01923076923077,8.0,0
jacksonville-jaguars,2018,177200000.0,196397733.0,41460040.0,0.2339731376975169,11572666.0,0.0653084988713318,58510626.0,113630688.0,25.489795918367346,5.0,0
jacksonville-jaguars,2019,188200000.0,145355601.0,48663546.0,0.2585735706695005,13985221.0,0.0743104197662061,68368702.0,49356449.0,24.72641509433962,6.0,0
jacksonville-jaguars,2020,198200000.0,100321279.0,67482264.0,0.3404756004036326,2714877.0,0.013697663975782,51869385.0,44571202.0,25.28070175438597,1.0,0
jacksonville-jaguars,2021,182500000.0,175764361.0,45241970.0,0.247901205479452,6799723.0,0.0372587561643835,80196467.0,84869620.0,25.476190476190474,3.0,0
jacksonville-jaguars,2022,208200000.0,182610677.0,51410178.0,0.2469268876080691,11088620.0,0.0532594620557156,82749123.0,79323496.0,25.8625,9.0,1
jacksonville-jaguars,2023,224800000.0,194030338.0,10665516.0,0.0474444661921708,12032264.0,0.053524306049822,94770486.0,76620535.0,26.37735849056604,9.0,0
jacksonville-jaguars,2024,255400000.0,142873539.0,53636487.0,0.2100097376664056,3277912.0,0.0128344244322631,50633894.0,55625316.0,25.943396226415093,4.0,0
jacksonville-jaguars,2025,279200000.0,183835386.0,85308734.0,0.3055470415472779,19000000.0,0.0680515759312321,87996573.0,56946133.0,26.62264150943396,13.0,1
kansas-city-chiefs,2018,177200000.0,188720364.0,43235228.0,0.2439911286681715,8933141.0,0.0504127595936794,88888880.0,62734366.0,25.75,12.0,1
kansas-city-chiefs,2019,188200000.0,168432340.0,30379634.0,0.1614220722635494,9869776.0,0.0524430180658873,86576246.0,61097692.0,26.33333333333333,12.0,1
kansas-city-chiefs,2020,198200000.0,238044218.0,42861124.0,0.2162518869828456,8596508.0,0.0433728960645812,101980569.0,95558753.0,25.980198019801986,14.0,1
kansas-city-chiefs,2021,182500000.0,172757831.0,23170652.0,0.1269624767123287,9351709.0,0.0512422410958904,64987751.0,70528169.0,26.464788732394368,12.0,1
kansas-city-chiefs,2022,208200000.0,124843923.0,6100719.0,0.029302204610951,36618381.0,0.1758807925072046,70894370.0,44696358.0,25.058823529411764,14.0,1
kansas-city-chiefs,2023,224800000.0,194829168.0,12295967.0,0.0546973620996441,38226325.0,0.1700459297153025,105288746.0,63607097.0,26.0188679245283,11.0,1
kansas-city-chiefs,2024,255400000.0,220972465.0,17019007.0,0.0666366758026624,39362681.0,0.1541216953797964,145152907.0,47920600.0,26.452830188679247,15.0,1
kansas-city-chiefs,2025,279200000.0,175503834.0,23723112.0,0.0849681661891117,254444.0,0.0009113323782234,82481272.0,65009084.0,26.452830188679247,6.0,0
las-vegas-raiders,2018,177200000.0,124154951.0,39760452.0,0.224381783295711,25900000.0,0.1461625282167042,75312266.0,42722420.0,25.440860215053764,4.0,0
las-vegas-raiders,2019,188200000.0,124757325.0,31685701.0,0.1683618544102019,25280481.0,0.1343277417640807,74299199.0,36557242.0,25.45205479452055,7.0,0
las-vegas-raiders,2020,198200000.0,226741208.0,22450570.0,0.1132723007063572,32625000.0,0.1646064581231079,130190145.0,83363660.0,26.488636363636363,8.0,0
las-vegas-raiders,2021,182500000.0,129494524.0,36524563.0,0.2001345917808219,25625000.0,0.1404109589041096,71859341.0,29232504.0,26.40740740740741,10.0,1
las-vegas-raiders,2022,208200000.0,179831461.0,102437869.0,0.4920166618635927,20575002.0,0.0988232564841498,103426625.0,60943985.0,26.1864406779661,6.0,0
las-vegas-raiders,2023,224800000.0,155882148.0,57853191.0,0.2573540524911032,8784345.0,0.0390762677935943,95409495.0,49984979.0,26.923076923076923,8.0,0
las-vegas-raiders,2024,255400000.0,111412545.0,50307790.0,0.196976468285043,1820957.0,0.0071298238057948,59571599.0,35636104.0,25.641509433962263,4.0,0
las-vegas-raiders,2025,279200000.0,138634367.0,77146469.0,0.2763125680515759,43800855.0,0.1568798531518624,78967729.0,28379721.0,26.452830188679247,3.0,0
los-angeles-chargers,2018,177200000.0,156630109.0,20165012.0,0.1137980361173814,23000000.0,0.1297968397291196,92721335.0,40343791.0,25.75641025641025,12.0,1
los-angeles-chargers,2019,188200000.0,161140516.0,13000472.0,0.0690779596174282,27628782.0,0.1468054303931987,85062406.0,44271303.0,26.19696969696969,5.0,0
los-angeles-chargers,2020,198200000.0,138497172.0,20514754.0,0.1035053178607467,13076892.0,0.0659782643794147,78611685.0,41617549.0,25.32876712328768,7.0,0
los-angeles-chargers,2021,182500000.0,180265045.0,14260406.0,0.0781392109589041,9879408.0,0.0541337424657534,86391318.0,84856138.0,26.52439024390244,9.0,0
los-angeles-chargers,2022,208200000.0,206823849.0,15806087.0,0.0759178049951969,13317533.0,0.0639650960614793,104656612.0,59248070.0,25.905882352941177,10.0,1
los-angeles-chargers,2023,224800000.0,132544014.0,27385531.0,0.1218217571174377,1389167.0,0.006179568505338,55734112.0,54095936.0,26.07547169811321,5.0,0
los-angeles-chargers,2024,255400000.0,183462767.0,60901604.0,0.2384557713390759,21848175.0,0.0855449295223179,75374891.0,46972713.0,26.56603773584905,11.0,1
los-angeles-chargers,2025,279200000.0,203316535.0,41240314.0,0.1477088610315186,39488315.0,0.1414337929799426,104850338.0,56018567.0,26.88679245283019,11.0,1
los-angeles-rams,2018,177200000.0,158606483.0,16825476.0,0.0949518961625282,8653593.0,0.0488351749435665,60897568.0,87038933.0,25.88679245283019,13.0,1
los-angeles-rams,2019,188200000.0,162333485.0,13604018.0,0.0722848990435706,11629577.0,0.0617937141339001,82843162.0,54784744.0,25.62264150943396,9.0,0
los-angeles-rams,2020,198200000.0,158056507.0,43735496.0,0.2206634510595358,29651210.0,0.1496024722502522,86250207.0,60417373.0,25.396825396825395,10.0,1
los-angeles-rams,2021,182500000.0,128139904.0,55198457.0,0.302457298630137,22175000.0,0.1215068493150685,64130236.0,48797585.0,25.69117647058824,12.0,1
los-angeles-rams,2022,208200000.0,113511363.0,26653334.0,0.128017934678194,3069444.0,0.0147427665706051,27005393.0,72783463.0,25.925925925925927,5.0,0
los-angeles-rams,2023,224800000.0,131880407.0,79381937.0,0.3531224955516014,20620000.0,0.0917259786476868,74923120.0,47396492.0,26.07692307692308,10.0,1
los-angeles-rams,2024,255400000.0,209446790.0,35854750.0,0.140386648394675,50188631.0,0.196509909945184,174088081.0,24793525.0,25.867924528301888,10.0,1
los-angeles-rams,2025,279200000.0,199972074.0,57763950.0,0.2068909383954154,51818459.0,0.1855961998567335,149626022.0,42375089.0,26.92452830188679,12.0,1
miami-dolphins,2018,177200000.0,125393091.0,23256036.0,0.1312417381489842,10116666.0,0.0570917945823927,54295717.0,34195223.0,26.262295081967213,7.0,0
miami-dolphins,2019,188200000.0,73122950.0,79074155.0,0.42016022848034,6779898.0,0.036024962805526,40706424.0,19936481.0,25.01020408163265,5.0,0
miami-dolphins,2020,198200000.0,156504710.0,39015271.0,0.1968479868819374,13548743.0,0.0683589455095862,61434424.0,79179179.0,25.433962264150946,10.0,0
miami-dolphins,2021,182500000.0,149454584.0,24429950.0,0.1338627397260273,11880781.0,0.0651001698630137,64158889.0,70258788.0,25.89090909090909,9.0,0
miami-dolphins,2022,208200000.0,170595560.0,26862865.0,0.1290243275696445,16208046.0,0.0778484438040345,86340843.0,59864144.0,26.56756756756757,9.0,1
miami-dolphins,2023,224800000.0,172821528.0,20351028.0,0.0905294839857651,13313648.0,0.0592244128113879,83343001.0,81331910.0,27.132075471698112,11.0,1
miami-dolphins,2024,255400000.0,138344211.0,58059677.0,0.2273284142521534,10402446.0,0.0407300156617071,81556342.0,37809038.0,27.245283018867923,8.0,0
miami-dolphins,2025,279200000.0,151891044.0,76511101.0,0.2740368946991404,42446697.0,0.1520297170487106,84745654.0,44675547.0,25.9622641509434,7.0,0
minnesota-vikings,2018,177200000.0,185936546.0,13348655.0,0.0753310101580135,27017000.0,0.1524661399548532,83835166.0,77308518.0,25.64179104477612,8.5,0
minnesota-vikings,2019,188200000.0,177166406.0,9821576.0,0.0521869075451647,29735000.0,0.1579968119022316,84527645.0,66758867.0,26.09803921568628,10.0,1
minnesota-vikings,2020,198200000.0,138188441.0,55337602.0,0.2792008173562058,22441666.0,0.1132273763874873,73630556.0,57365583.0,25.361702127659573,7.0,0
minnesota-vikings,2021,182500000.0,136102224.0,35669965.0,0.1954518630136986,35332746.0,0.1936040876712328,78028219.0,50130843.0,25.88,8.0,0
minnesota-vikings,2022,208200000.0,200224575.0,47614227.0,0.2286946541786743,32668668.0,0.1569100288184438,99005674.0,71223164.0,25.945054945054945,13.0,1
minnesota-vikings,2023,224800000.0,122035441.0,46177305.0,0.2054150578291814,3378149.0,0.0150273532028469,49816692.0,46052640.0,26.48076923076923,7.0,0
minnesota-vikings,2024,255400000.0,164432512.0,70382084.0,0.2755758966327329,8215000.0,0.0321652310101801,88786046.0,56648365.0,27.28846153846154,14.0,1
