Team,Year,Total Cap,Active Cap,Dead Cap,QBCap%,Dead Cap %,Active Spend %,Wins,Playoffs
philadelphia-eagles,2028,334550000.0,214161537.0,,0.1421282319533702,,0.6401480705425198,,
pittsburgh-steelers,2026,303450000.0,275619783.0,7934338.0,0.018749464491679024,0.02614710166419509,0.908287305981216,,
pittsburgh-steelers,2027,318620000.0,186694026.0,,0.0037098267528717596,,0.5859457221768878,,
pittsburgh-steelers,2028,334550000.0,135979688.0,,0.0038769242265730085,,0.4064555014198177,,
san-francisco-49ers,2026,303450000.0,266137437.0,36327740.0,0.09816957983193278,0.11971573570604713,0.8770388433020266,,
san-francisco-49ers,2027,318620000.0,293147976.0,,0.10450555206829452,,0.9200551628899629,,
san-francisco-49ers,2028,334550000.0,286904903.0,,0.18193728291735167,,0.8575845254819907,,
seattle-seahawks,2026,303450000.0,259564011.0,483724.0,0.13865103311913002,0.0015940813972647884,0.8553765397923876,,
seattle-seahawks,2027,318620000.0,240836465.0,,0.13686644592304312,,0.7558736582763166,,
seattle-seahawks,2028,334550000.0,82307450.0,,0.044217958451651475,,0.2460243610820505,,
tampa-bay-buccaneers,2026,303450000.0,305191067.0,253922.0,0.17457571263799637,0.0008367836546383259,1.0057375745592354,,
tampa-bay-buccaneers,2027,318620000.0,216110345.0,,0.03758395580942816,,0.6782698669261189,,
tampa-bay-buccaneers,2028,334550000.0,126602374.0,,0.035794350620236136,,0.37842586758332086,,
tennessee-titans,2026,303450000.0,218459488.0,5135657.0,0.04658446531553798,0.01692422804415884,0.7199192222771461,,
tennessee-titans,2027,318620000.0,212385379.0,,0.041804958885192395,,0.6665789310150022,,
tennessee-titans,2028,334550000.0,67565814.0,,0.0464500941563294,,0.2019602869526229,,
washington-commanders,2026,303450000.0,245737033.0,12592731.0,0.037467592684132474,0.041498536826495305,0.8098106211896523,,
washington-commanders,2027,318620000.0,153618720.0,,0.03769473981545415,,0.4821377189128115,,
washington-commanders,2028,334550000.0,90295715.0,,,,0.26990200269018083,,
